"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Fooden et al 1993","Luzon","Culion","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",129.51,124,5.7,1.61,12,3,129.51,111.18,5.7,3.18,12,9,124,NA,1.61,NA,3,NA,119.966,11.8487,389,55,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Flores (Indonesia)","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,106.8,4.605,6.45,70,4,126.4,104.7470588,4.98,4.170161867,36,34,116.2,97.4,NA,6.45,1,3,120.7536,-8.6325,13540,570,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Java","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,115.574,4.762,4.605,59,70,118.2111538,103.0748485,4.177996596,5.172107501,26,33,126.4,104.7470588,4.98,4.170161867,36,34,107.5667,-6.95,138793.6,340,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Karimata","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",114.915,113.35,4.223,0.92,59,2,114.9147458,98.71349206,4.222533667,3.005568516,59,63,113.35,NA,0.92,NA,2,NA,108.895,-1.606,158,60,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Karimunbesar (Karimon)","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,102.31,4.762,2.409,59,7,118.2111538,103.0748485,4.177996596,5.172107501,26,33,110.75,93.87,1.76,3.14,4,3,103.368,1.051,131,20.8,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Karimunjawa","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,118.175,4.605,3.04,70,3,126.4,104.7470588,4.98,4.170161867,36,34,127.15,109.2,3.04,0,2,1,110.4451,-5.844,27,68.43,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Khram Yai","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,108.955,4.762,2.868,59,9,118.2111538,103.0748485,4.177996596,5.172107501,26,33,115.86,102.05,2.91,2.81,5,4,100.788,12.697,13.8,3.7,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Ko Ta Li Bong (Ko Libong)","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",118.211,121.85,4.178,2.19,26,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,121.85,NA,2.19,NA,2,NA,99.3913,7.2456,35,3.4,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Kundur","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",107.417,100.35,3.353,0.85,79,3,116.6501852,98.1832,3.553213628,2.862463974,54,25,108.8,91.9,0.85,0,2,1,103.434,0.77,304,12.9,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Kut","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,102.36,4.762,3.573,59,6,118.2111538,103.0748485,4.177996596,5.172107501,26,33,109.62,95.1,2.03,6.22,4,2,102.569,11.653,111.3,32.4,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mindanao","Leyte","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",113.105,116.715,4.319,5,51,4,123.58,102.63,4.2,4.44,26,25,128.63,104.8,5,0,3,1,124.867,10.861,7368,18.7,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Little Nicobar","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",116.65,134.5,3.553,2.55,54,2,116.6501852,98.1832,3.553213628,2.862463974,54,25,134.5,NA,2.55,NA,2,NA,93.691,7.3365,140,253.5,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Lombok","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,104.4,4.605,3.33,70,4,126.4,104.7470588,4.98,4.170161867,36,34,111.5,97.3,2.55,3.96,2,2,116.417,-8.375,4725,133,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Luzon","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",118.211,129.51,4.178,5.7,26,12,118.2111538,103.0748485,4.177996596,5.172107501,26,33,129.51,111.18,5.7,3.18,12,9,121.093,16.311,109965,840,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Maratua","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",106.814,115.1,3.645,5.515,122,2,114.9147458,98.71349206,4.222533667,3.005568516,59,63,119,111.2,0,0,1,1,118.575,2.2364,23.75,52,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Luzon","Maripipi","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",120.345,117.965,4.803,2.74,21,5,129.51,111.18,5.7,3.18,12,9,125.73,110.2,2.83,2.55,3,2,124.324,11.7898,31.71,21.77,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Matasiri","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",114.915,120.8,4.223,4.95,59,2,114.9147458,98.71349206,4.222533667,3.005568516,59,63,120.8,NA,4.95,NA,2,NA,115.8107,-4.797,28,110,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Mindanao","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",106.814,113.105,3.645,4.319,122,51,114.9147458,98.71349206,4.222533667,3.005568516,59,63,123.58,102.63,4.2,4.44,26,25,125.081,7.736,97530,345,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Luzon","Mindoro","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",129.51,128.83,5.7,5.1,12,4,129.51,111.18,5.7,3.18,12,9,128.83,NA,5.1,NA,4,NA,121.104,13.057,9735,13.8,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Musala (Mansalar)","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",107.417,105.025,3.353,1.34,79,3,116.6501852,98.1832,3.553213628,2.862463974,54,25,113.25,96.8,1.34,0,2,1,98.4737,1.6635,77.3,13.02,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mindanao","Negros","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",113.105,113.345,4.319,3.057,51,34,123.58,102.63,4.2,4.44,26,25,121.42,105.27,3.55,2.61,15,19,123.011,9.947,13670,44,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Nias","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",107.417,106.85,3.353,3.937,79,10,116.6501852,98.1832,3.553213628,2.862463974,54,25,115.43,98.27,3.73,4.5,7,3,97.55,1.1,4121.389,107,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Palawan","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",106.814,113.875,3.645,5.863,122,8,114.9147458,98.71349206,4.222533667,3.005568516,59,63,122.85,104.9,6.27,3.11,6,2,118.574,9.668,12189,145,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Luzon","Panay","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",129.51,120.4,5.7,0.71,12,2,129.51,111.18,5.7,3.18,12,9,120.4,NA,0.71,NA,2,NA,122.471,11.221,12011,138,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Phangan","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Female","Skull",103.075,99.7,5.172,3.11,33,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,NA,99.7,NA,3.11,NA,2,100.0182,9.7479,125,48.2,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Phi Phi Don","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,113.975,4.762,3.04,59,3,118.2111538,103.0748485,4.177996596,5.172107501,26,33,118.6,109.35,0,3.04,1,2,98.777,7.7507,9.73,26,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Pinang","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,103.23,4.762,2.27,59,6,118.2111538,103.0748485,4.177996596,5.172107501,26,33,110.86,95.6,2.27,0,5,1,100.259,5.38,295,2.5,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Pinang","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,105.05,4.762,11.809,59,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,113.4,96.7,0,0,1,1,100.259,5.38,295,2.5,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Pintu Gedong","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",118.211,107.05,4.178,0.49,26,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,107.05,NA,0.49,NA,2,NA,101.2459,2.9343,17,7.13,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Luzon","Samar","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Female","Skull",111.18,107.25,3.18,3.32,9,2,129.51,111.18,5.7,3.18,12,9,NA,107.25,NA,3.32,NA,2,125.148,11.67,13429,17.3,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Samui","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",118.211,114.2,4.178,0.57,26,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,114.2,NA,0.57,NA,2,NA,99.9912,9.5167,228.7,16.7,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Siantan","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",118.211,117.85,4.178,0.21,26,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,117.85,NA,0.21,NA,2,NA,106.2435,3.1669,104.8,264,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Simeulue","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",107.417,111.995,3.353,2.233,79,11,116.6501852,98.1832,3.553213628,2.862463974,54,25,121.77,102.22,1.88,2.81,7,4,96.088,2.614,1754,114,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Singapore","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,106.115,4.762,3.935,59,5,118.2111538,103.0748485,4.177996596,5.172107501,26,33,114.53,97.7,4.47,2.55,3,2,103.794,1.364,536,1,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Subi-kecil","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",106.814,107.75,3.645,15.203,122,2,114.9147458,98.71349206,4.222533667,3.005568516,59,63,118.5,97,0,0,1,1,108.8544,3.0376,9.5,130,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Sumatra","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,107.417,4.762,3.353,59,79,118.2111538,103.0748485,4.177996596,5.172107501,26,33,116.6501852,98.1832,3.553213628,2.862463974,54,25,101.6,-0.4,473607.0003,67,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Sumba","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,107.925,4.605,0.78,70,3,126.4,104.7470588,4.98,4.170161867,36,34,120.9,94.95,NA,0.78,1,2,120.05,-9.6667,11059.6,480,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Sumbawa","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,110.25,4.605,4.16,70,10,126.4,104.7470588,4.98,4.170161867,36,34,118.63,101.87,4.78,0.83,7,3,117.455,-8.738,14386,238,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Tarutao","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,107.725,4.762,4.649,59,7,118.2111538,103.0748485,4.177996596,5.172107501,26,33,116.05,99.4,4.97,4.12,4,3,99.654,6.61,149.3,14,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Timor","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,111.065,4.605,3.551,70,6,126.4,104.7470588,4.98,4.170161867,36,34,120.53,101.6,4,1.56,4,2,124.451,-9.649,28418.1,450,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Tioman","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,101.525,4.762,2.368,59,8,118.2111538,103.0748485,4.177996596,5.172107501,26,33,108.95,94.1,0.78,2.57,2,6,104.17,2.79,136,37.8,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Tuangku","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",116.65,107.45,3.553,0.07,54,2,116.6501852,98.1832,3.553213628,2.862463974,54,25,107.45,NA,0.07,NA,2,NA,97.272,2.1617,206.9,44.9,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Bromham and Cardillo 2007","Shikoku (Japan)","Awashima island","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","","Both","Weight",9700,8950,565.685,1481.036,3,29,11200,8200,NA,565.69,1,2,10800,7100,1580,1260,19,10,139.241,38.464,9.86,19,"Weight","Conspecific","Island rule","Yes"
"Bromham and Cardillo 2007","Honshu, Japan","Awashima island","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","","Both","Weight",10050,8950,1952.944,1481.036,206,29,11400,8700,2440,1560,81,125,10800,7100,1580,1260,19,10,139.241,38.464,9.86,19,"Weight","Conspecific","Island rule","Yes"
"Bromham and Cardillo 2007","Kyushu","Kojima Island","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","","Both","Weight",9300,7475,1203.363,825.955,303,33,10800,7800,2150,1100,22,281,8580,6370,1245,572,10,23,131.3758,31.4523,0.3,0.3,"Weight","Conspecific","Island rule","Yes"
"Bromham and Cardillo 2007","Honshu","Shodoshima","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","","Both","Weight",10050,9800,1952.944,2134.945,206,38,11400,8700,2440,1560,81,125,10700,8900,2730,1150,20,18,134.2902,34.51,153.3,11.2,"Weight","Conspecific","Island rule","Yes"
"Bromham and Cardillo 2007","Kyushu","Yakushima","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata yakui","","Both","Weight",9300,7400,1203.363,884.355,303,8,10800,7800,2150,1100,22,281,9500,5300,424.2640687,950,2,6,130.5,30.3333,540,61,"Weight","Conspecific","Island rule","Yes"
"Allen 1938","Yunnan","Hainan","Mammals","Primata","Cercopithecidae","Macaca mulatta","Macaca mulatta","Macaca mulatta","","Female","CBL",84.5,82.2,3.536,5.103,2,3,NA,84.5,NA,3.535533906,NA,2,NA,82.2,NA,5.1,NA,3,109.842,19.229,32900,17,"log10(mass,g) = -3.177  +3.3747*log10(CBL mm), r2 = 0.9711, own model, All species","Conspecific","No island rule","Yes"
"Nor 1996","Banggi","Malawali","Mammals","Chiroptera","Pteropodidae","Macroglossus minimus","Macroglossus minimus","Macroglossus minimus","","Both","Weight",11.45,12.3,2,1.401,5,12,12,10.9,NA,2,1,4,13,11.6,1.41,1.4,2,10,117.297,7.048,38,9,"Weight","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Nigeria","Bioko","Birds","Passeriformes","Ploceidae","Malimbus rubricollis","Malimbus rubricollis","Malimbus rubricollis","Invertebrate","Male","Tarsus Length",26.16,25.158,2.433,0.681,4,4,26.16,NA,2.432721384,NA,4,NA,25.1575,NA,0.680508388,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Nigeria","Bioko","Birds","Passeriformes","Ploceidae","Malimbus rubricollis","Malimbus rubricollis","Malimbus rubricollis","Invertebrate","Male","Wing Length",102.25,102.5,3.594,3.786,4,4,102.25,NA,3.593976442,NA,4,NA,102.5,NA,3.785938897,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Schlotfeldt and Kleindorfer, 2006","South Australia","Kangaroo","Birds","Passeriformes","Maluridae","Malurus cyaneus","Malurus cyaneus","Malurus cyaneus","","Both","Wing Length",51.82,53.58,2.501,1.718,48,65,51.83,51.81,2.245662486,2.884995667,30,18,54.13,53.03,1.614651665,1.807595087,31,34,137.207,-35.819,4405,13.5,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","Island rule","Yes"
"Higgins, Peter & Steele, 2001","Australia","Kangaroo","Birds","Passeriformes","Malluridae","Malurus cyaneus","Malurus cyaneus cyanochilamys","Malurus cyaneus ashbi","","Male","Weight",9.9,10.9,0.63,0.76,214,8,9.9,NA,0.63,NA,214,NA,10.9,NA,0.76,NA,8,NA,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
